сabbage_value,fruit_value,sugar_value,candy_value,biscuits_value,mutton_value,beef_value,chicken_value,pork_value,fish_value,herring_value,curd_value,sour_creame_value,butter_value,milk_kefir_value
2917.912399999999,28651.28499999997,9212.299299999993,3522.250300000001,4458.528800000003,0.0,1111.7403999999985,8729.166399999998,3001.858599999998,255.56589999999974,884.6157000000002,2213.5894999999973,1696.7896000000019,1151.2815000000003,29964.497300000025
59415.18140000001,303366.72399999993,129117.16660000017,39887.54750000001,63106.34320000006,323.2861999999999,6498.855000000002,173040.41609999986,32642.693700000014,4343.7366999999995,9548.177200000007,34107.24490000002,41429.02620000001,19424.50570000001,500426.9228999996
29368.419199999993,114837.925,61659.7079,16616.178999999996,21024.497399999993,0.0,1288.9872999999993,58551.33359999999,9861.649700000004,655.6560999999997,1853.3875000000005,9084.767900000013,8497.990000000002,5583.956899999997,150660.39569999988
10200.13880000001,43615.471,25917.52489999998,8541.941999999995,11078.991899999997,0.0,584.7987000000002,32727.621300000017,11614.595400000006,999.6069999999999,2853.7143000000005,6829.763800000002,7106.340200000005,3697.506900000005,82497.8592
11270.781600000004,71148.277,30105.480700000022,20887.35960000002,24468.47609999999,235.68010000000012,1229.0713999999994,47261.63770000005,5547.311899999996,642.9816999999996,2041.574100000001,8666.076300000006,11058.656700000001,4006.9441999999985,116478.21749999988
9888.129999999996,40996.35499999999,20380.50799999999,7832.415299999994,9409.461900000002,0.0,183.60370000000006,29896.633400000002,3063.133899999998,435.8187000000004,1761.1758000000002,3707.893899999997,3610.0122000000015,2278.646499999999,75544.37899999997
19969.368599999998,74994.93499999992,39229.85589999997,11949.076599999986,14719.62500000001,172.3195999999998,811.8459999999992,52820.65460000004,15097.684300000008,845.0751000000007,1652.3330999999985,8654.617600000007,7565.220799999996,4043.0701000000013,116584.3798000001
17492.9129,83476.89099999993,35719.91700000002,11516.911800000016,13491.874300000001,2.3833,1301.1436000000003,52296.87779999997,12719.280700000003,1306.084100000001,2937.5434999999984,13556.98860000001,8587.897800000004,6389.587699999999,139535.63939999993
90239.94720000002,547464.0949999994,127125.6215000001,56387.80130000003,78080.21560000004,1058.1907999999996,22813.690900000012,243441.8353999998,82471.87220000007,12258.132800000012,12883.203600000006,78214.53789999994,73687.0935,25431.81769999997,605457.9638999996
16212.325199999996,88157.37199999993,45908.511800000015,12280.502899999996,16095.49640000001,188.12899999999988,1241.551200000001,42529.12630000002,10890.463899999992,850.6176999999996,2453.6396000000004,13023.924600000011,9917.742000000006,5020.998299999998,123348.25350000005
842.4417999999998,4445.257999999998,3079.9166000000005,911.2396999999997,1291.7483999999997,0.0,65.71039999999995,2284.4328000000005,562.1779000000001,0.0,365.10280000000023,382.63910000000004,375.67359999999957,256.51400000000024,7034.691300000001
168596.11870000005,1155305.9679999999,233987.23819999993,106469.32429999996,147906.7480000002,2722.0890000000013,34876.25679999999,511614.8189000003,98924.87890000004,29221.626800000002,22804.96329999998,175615.4433000001,111550.58569999997,50461.570600000014,1162279.2736000007
