spice,tea,cpi_1,cpi_2,cpi_3,pasta_value,legumes_value,bread_value,flour_value,rice_value,groats_value,potatoes_value,сucumbers_tomatoes_value,vegetables_value,roots_value
39.2947,78.45360000000004,6808.677399999997,5765.808899999999,6959.620500000004,8916.4502,1303.7899999999995,15844.500200000002,3620.0717000000004,5185.888800000008,4533.584400000001,16583.442999999992,12158.871299999993,3809.880299999996,8449.907500000003
35.57289999999999,64.6069,4842.555600000003,4132.617399999996,4861.705500000002,105676.21470000001,22849.2844,296506.6764000003,75967.29020000002,29769.13270000001,68711.18609999998,122273.93010000004,83106.2118000001,54400.49420000004,49656.28620000004
27.807600000000015,64.65730000000003,4928.8088000000025,4223.178599999996,4951.599799999997,34504.07200000001,9835.280799999995,104288.73950000005,25869.021300000008,11936.910400000008,22392.466199999995,69937.67170000005,14374.424099999997,20164.794199999993,24379.7445
28.479,61.9714,4436.235,3773.6310999999987,4440.491600000003,20083.313300000027,3900.5861,57406.58120000002,13176.281599999997,5762.281400000008,16274.55590000001,15675.304799999998,9639.034899999993,9308.823100000001,8300.709199999994
24.463100000000004,62.30000000000001,4575.466500000006,3903.9519000000028,4612.131699999998,20118.787899999985,5066.885299999997,55451.11800000002,18741.951600000008,5975.277600000005,15950.8822,18637.99280000002,16918.48089999998,14905.246999999998,8707.259399999992
26.75429999999998,63.39710000000008,4723.092799999999,4048.430799999998,4720.556000000006,16306.523900000015,3750.465500000002,57150.97420000002,12750.77969999999,4884.7513000000035,11156.9974,17667.540599999986,6690.931400000004,8947.287600000001,7268.9834
31.46359999999999,59.98189999999999,4837.6493,4131.608999999999,4829.685699999999,25556.966700000008,6768.331700000004,117401.73960000003,16321.524300000001,7984.422700000003,20712.84320000001,43867.42510000002,17850.866499999986,14929.115100000006,16145.22170000001
35.28810000000004,67.81919999999997,4964.094399999996,4238.137799999999,4947.253699999997,25033.89700000002,6244.352099999998,88942.79820000006,16039.677800000014,8682.214699999993,20210.152499999997,37084.50019999999,16703.381799999996,15296.873699999991,16424.92020000001
47.2509,73.97090000000009,5869.777100000004,4987.472500000007,5670.942900000004,179541.19100000014,35252.144999999946,396203.4237000003,72660.54380000006,40030.80280000003,89436.23360000005,307439.78330000007,143914.52169999998,95838.4854999999,131128.77670000002
31.814400000000024,61.99489999999999,4760.877900000006,4094.050999999998,4785.423400000001,27745.538600000018,6459.678400000002,85200.47790000003,14265.92259999999,9336.222499999998,18058.6277,39135.26860000004,20375.109000000033,14647.20079999999,14893.649200000002
