cheese_value,egg_value,margarine_value,oil_value,salt_value,spice_value,tea_value,ai92,ai95,ai98,dt,ai92_value,ai95_value,ai98_value,dt_value
3105.2115000000003,176946.17509999993,0.0,3447.3244999999984,1376.2983999999997,12559.1219,8631.309099999993,45.021800000000006,46.08410000000003,53.767199999999974,56.637100000000025,195632.1061000001,116413.62440000003,7339.997799999998,5966.126800000002
37370.25899999998,1502133.2735999993,3680.1582000000026,61799.29649999998,22033.758900000015,118471.3903,122740.81900000005,40.50680000000002,44.03350000000004,49.11240000000007,46.675399999999996,1666671.9844999986,1190953.7449999992,796.8225000000001,444936.4494000003
10741.793999999996,432886.74800000014,1318.1705000000009,27981.006400000006,10888.506300000003,42371.615999999965,52298.839400000026,41.57020000000003,45.089500000000044,49.9497,45.80300000000001,780492.6511000001,255653.06750000003,2429.861799999998,89176.58789999998
6458.835799999997,246941.3419,252.14549999999986,14520.06010000001,6076.2149000000045,21386.55729999999,18956.5643,41.40170000000005,45.058200000000014,48.4,46.13099999999993,329870.62550000014,196306.37439999983,1481.6389000000001,75684.50699999985
6737.416199999999,365583.9309,467.86369999999994,15047.566799999999,5857.241800000001,33588.37340000003,29406.347400000006,40.13169999999998,42.34070000000001,49.007999999999996,47.67269999999999,329728.6863999998,242743.6439999999,116.84279999999998,18506.795000000002
4673.322399999997,194096.91130000004,374.8816000000003,11959.191900000007,4722.834699999998,18494.665500000003,17628.30860000001,41.79560000000004,44.98759999999991,18.988199999999996,45.32560000000006,304809.56310000026,157686.8439999999,33.1826,46491.4738
8458.520199999994,428364.8068000002,348.99800000000005,21800.232399999975,5427.6533999999965,30226.611199999992,34731.776499999985,41.95749999999995,44.76010000000002,0.0,46.41319999999997,468027.3381999994,310528.3034000001,0.0,160704.73300000012
9454.912900000001,504931.50019999995,467.0925000000001,22928.174,5297.629599999997,28001.799599999977,30298.65440000002,41.76990000000003,45.439599999999984,50.68569999999994,46.49519999999998,411932.5492999997,288457.98310000025,334.32490000000007,195844.79520000008
68395.53490000007,2782259.1681000013,1848.0623000000005,83047.9176999999,21196.769300000007,162197.96119999987,210161.7848,42.06429999999998,45.22700000000002,53.51339999999994,47.48439999999992,1809026.9143999983,2510383.4275,17954.7179,867553.6794999996
10032.75679999999,442755.21529999963,474.5345999999997,21826.116900000005,6036.8014,28187.605099999993,33638.74119999998,40.80949999999998,43.28689999999999,46.49630000000004,45.77180000000002,377546.50379999995,309595.02449999994,1670.6045000000001,222493.16430000012
608.3775999999993,30150.525999999998,28.119800000000005,1636.6707000000004,415.96540000000044,3178.275299999998,2015.1578999999983,42.76470000000005,44.580000000000055,45.1061,53.31740000000001,33720.018500000006,19071.888600000024,1414.3921999999993,3667.7320999999997
151818.16370000015,5592857.6963,3102.499400000002,162071.1954999999,43375.981000000014,302383.70269999985,377802.2291999999,42.165899999999986,46.184599999999975,51.47560000000003,46.665100000000024,3340670.3175,4572736.2875,9390.815000000006,1382168.762399999
6212.116800000004,278096.9106,387.2053000000006,17943.333500000004,6803.897699999994,24240.382200000015,27585.508600000012,41.44699999999996,44.680399999999985,0.0,45.98370000000004,339348.27699999994,173833.29029999996,0.0,129804.00259999985
8746.865300000007,395131.27839999995,320.3278000000001,21403.159500000005,5413.394899999997,30809.171699999984,27470.191500000023,41.03340000000003,44.58830000000001,48.966200000000036,46.633800000000036,394922.52929999965,277114.3839999999,173.16139999999984,160824.66850000017
4468.643600000007,145854.8146000002,691.4306999999994,10637.633400000002,2971.7948999999994,14383.980599999983,16546.130999999998,41.99249999999999,45.69359999999996,0.0,45.89610000000002,316634.60139999987,147955.8183000002,0.0,52823.89739999999
7186.950399999999,304827.8980000003,602.7396000000001,17530.270600000007,7458.835000000004,28159.096100000002,30511.867700000006,40.456100000000035,44.883100000000006,49.803499999999985,46.43790000000002,516441.02740000037,264263.45940000005,2581.2561999999984,134370.08119999996
12713.83639999999,501006.9453000001,1297.1799000000003,27721.01029999998,11374.851,55614.793499999985,52026.83619999999,42.342799999999954,46.0546,49.90060000000005,45.8633,804953.7661999996,506318.2054999998,1047.4602000000011,213286.04209999996
11640.877199999997,596723.8503000003,1998.8798999999988,23831.92979999999,9094.185599999993,57159.58850000001,48370.55170000005,41.56380000000003,43.8979,47.455,47.70829999999995,1083425.9527999992,374871.85179999983,37940.805100000005,282116.47619999974
14194.365000000016,482534.32039999997,1179.0903999999998,29432.75950000001,20011.53270000001,48395.83120000004,59036.66290000002,41.84050000000004,45.76240000000003,48.50420000000004,45.400099999999995,867694.6155999991,308648.8560999997,1360.4936999999998,207164.1919
8805.9849,431011.08139999985,363.6305999999996,17381.378099999994,4941.758499999998,28437.86060000001,30625.368299999987,42.38839999999999,44.74559999999997,45.80719999999999,48.706,395176.22209999984,273600.91520000005,160.7595,190621.45369999993
6558.1329,302430.108,270.64320000000004,14881.0501,4471.265000000002,20094.008599999997,22259.248799999998,40.884500000000045,43.13260000000002,46.31750000000001,45.80790000000005,203042.6274999999,182940.76870000007,287.5586000000002,108081.32169999994
4044.8059999999964,195590.5540999999,159.12130000000002,6253.333900000002,2019.0838999999996,12915.16820000002,12022.2463,40.708499999999965,43.853999999999985,52.31279999999996,50.63509999999999,231672.60950000034,189218.69650000002,1030.5840000000003,44022.50479999996
6936.67050000001,295558.1101,459.47730000000024,18023.036400000005,5544.9114,33012.663600000014,24510.590400000005,47.0433,49.85210000000002,56.45939999999995,50.8423,364115.2696,556733.8712999999,12503.452099999993,313772.7836000002
240.25429999999986,9766.427,0.0,349.8874000000002,5.2,875.3899,702.08,45.09489999999998,48.90669999999997,0.0,53.33560000000003,19495.724900000016,5910.950099999999,0.0,5878.3868000000075
